"","X","pubbel1","pribel1","pribel2","pribel3","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"73491",73491,2,1,1,1,2,3,2,1,1,2,1,1,10,840,2,66,8,4,840010,80,5
"73492",73492,2,1,1,1,2,1,7,3,2,2,1,2,10,840,2,25,7,7,840010,96,6
"73493",73493,1,1,1,1,2,1,3,1,1,1,1,1,10,840,2,28,8,1,840010,80,1
"73494",73494,1,1,1,1,2,1,5,2,2,1,1,2,7,840,1,55,7,1,840010,80,1
"73495",73495,2,1,1,1,2,1,1,1,1,1,1,1,9,840,1,41,8,1,840010,80,4
"73496",73496,2,1,1,1,2,1,3,1,1,2,1,1,10,840,1,30,7,1,840010,1,1
"73497",73497,1,1,1,1,2,1,1,1,2,1,1,1,10,840,1,48,8,1,840010,80,1
"73498",73498,1,1,1,1,2,1,1,1,1,1,1,1,10,840,1,73,3,4,840010,80,1
"73499",73499,3,-1,1,2,2,1,7,3,2,2,2,3,3,840,2,44,3,1,840010,96,1
"73500",73500,2,1,1,1,2,1,6,2,3,1,1,2,8,840,2,44,9,6,840010,80,3
"73501",73501,2,1,1,1,2,1,7,3,1,2,2,4,7,840,1,91,3,4,840010,96,5
"73502",73502,3,1,1,1,2,3,7,3,1,2,1,2,10,840,1,37,6,1,840010,96,1
"73503",73503,2,1,1,1,2,1,6,2,2,1,1,1,10,840,2,61,4,5,840010,80,1
"73504",73504,3,1,1,1,2,1,7,3,2,2,1,2,8,840,1,40,5,1,840010,96,1
"73505",73505,2,1,1,1,2,9,2,1,2,2,1,1,8,840,2,61,5,4,840010,2,1
"73506",73506,2,1,1,2,2,1,7,2,2,2,2,3,2,840,1,-1,6,1,840010,96,3
"73507",73507,3,1,1,2,2,1,4,3,2,3,1,1,8,840,1,61,3,4,840010,1,1
"73508",73508,-1,-1,-1,-1,-1,-1,7,2,-1,-1,2,2,-1,840,1,21,4,2,840011,96,6
"73509",73509,2,1,1,1,-1,1,6,2,-1,2,-1,2,10,840,2,39,5,1,840011,2,3
"73510",73510,1,1,1,1,2,1,4,1,-1,1,1,1,10,840,2,-1,2,7,840010,2,5
"73511",73511,1,1,1,1,2,-1,7,2,-1,1,1,1,10,840,2,75,1,7,840010,2,5
"73512",73512,1,1,1,2,2,2,7,3,1,3,2,3,6,840,2,47,8,1,840010,2,3
"73513",73513,1,1,1,1,2,1,1,1,1,1,1,1,9,840,2,41,3,1,840010,2,1
"73514",73514,1,1,1,1,2,1,4,2,1,3,1,1,9,840,1,32,6,1,840010,80,1
"73515",73515,1,1,1,1,2,2,2,3,1,2,1,1,9,840,1,26,7,1,840010,1,1
"73516",73516,2,1,1,2,1,3,3,1,1,2,1,1,8,840,2,49,3,1,840010,1,1
"73517",73517,2,1,1,1,2,1,3,2,2,1,1,1,9,840,2,38,8,5,840010,2,1
"73518",73518,2,1,1,1,2,2,4,2,2,1,1,1,8,840,2,76,5,4,840010,2,5
"73519",73519,2,1,1,-1,2,1,4,2,1,1,1,2,3,840,1,30,8,1,840010,1,1
"73520",73520,2,1,1,2,2,1,3,1,1,1,-1,3,5,840,1,66,9,3,840010,99,1
"73521",73521,-1,1,1,1,1,1,7,3,2,3,2,3,3,840,1,34,5,1,840010,96,2
"73522",73522,1,1,1,1,1,1,1,1,1,1,1,1,10,840,2,53,6,7,840010,1,3
"73523",73523,3,1,2,2,2,1,6,2,2,2,1,1,5,840,1,61,2,1,840010,2,1
"73524",73524,2,1,1,1,2,3,2,1,1,2,1,1,8,840,1,47,8,1,840010,2,1
"73525",73525,1,1,1,1,2,1,1,1,1,1,1,1,10,840,2,67,7,1,840010,80,1
"73526",73526,1,1,1,1,2,1,-1,2,2,2,1,2,8,840,2,31,7,7,840010,1,1
"73527",73527,2,1,2,1,1,1,7,3,1,2,2,2,8,840,1,36,9,1,840008,96,6
