"","X","pubbel1","pubbel2","pubbel3","pubbel4","pribel1","pribel2","pribel3","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"55782",55782,3,2,1,4,1,1,1,2,3,7,2,1,2,1,1,4,840,2,40,8,1,840002,0,3
"55783",55783,3,3,2,4,1,1,2,2,1,4,1,1,2,2,2,7,840,1,54,7,7,840002,42,1
"55784",55784,3,4,-1,4,1,1,2,-1,1,2,1,1,2,1,1,9,840,2,82,3,4,840002,42,5
"55785",55785,2,1,1,4,1,1,1,2,2,2,2,1,2,1,1,10,840,2,76,4,4,840002,64,1
"55786",55786,2,3,1,3,1,-1,-1,2,4,2,2,1,3,1,2,10,840,2,76,5,4,840002,64,5
"55787",55787,1,4,4,2,1,1,1,2,1,1,1,1,1,1,1,10,840,2,57,5,4,840002,42,5
"55788",55788,1,2,4,2,1,1,1,2,2,2,1,1,1,1,1,10,840,2,42,9,3,840005,64,3
"55789",55789,3,2,4,3,1,1,-1,2,1,7,2,1,1,1,1,10,840,2,19,8,2,840005,-2,6
"55790",55790,3,3,2,2,1,1,1,2,5,4,2,1,1,1,3,10,840,1,21,8,1,840005,64,6
"55791",55791,1,3,1,2,1,1,1,2,1,2,1,1,1,1,1,10,840,2,38,5,3,840005,62,1
"55792",55792,4,3,3,3,1,1,1,2,1,6,2,1,1,1,4,5,840,1,23,9,2,840002,64,6
"55793",55793,4,5,1,5,1,1,1,2,4,7,2,1,2,1,4,3,840,2,59,8,4,840002,0,1
"55794",55794,4,5,1,5,1,1,1,-1,1,7,2,2,2,1,1,8,840,1,24,9,6,840005,0,6
"55795",55795,4,5,1,3,1,1,1,2,6,4,2,1,4,1,3,10,840,1,24,9,1,840005,64,6
"55796",55796,4,3,3,3,2,2,2,2,2,7,2,1,2,2,1,1,840,1,24,9,1,840002,0,2
"55797",55797,2,3,4,2,1,1,1,2,1,4,1,1,1,1,2,10,840,2,22,7,1,840005,-2,1
"55798",55798,1,3,3,3,1,1,1,2,2,4,2,1,1,1,1,4,840,1,52,9,1,840005,64,1
"55799",55799,2,2,5,1,1,1,1,2,1,2,2,1,2,1,1,10,840,2,32,8,5,840002,62,1
"55800",55800,2,4,5,2,1,1,1,2,6,3,1,1,1,1,1,7,840,1,51,9,1,840002,53,6
"55801",55801,4,1,3,1,1,1,1,-1,9,2,1,1,2,2,1,7,840,2,42,5,1,840003,64,6
"55802",55802,2,4,2,1,1,1,1,2,1,2,1,1,1,1,3,10,840,1,38,9,1,840007,53,1
"55803",55803,4,1,1,1,1,2,1,2,1,1,1,1,1,1,1,10,840,1,57,7,1,840002,-2,1
"55804",55804,1,4,4,3,1,1,1,2,2,1,1,1,1,1,1,10,840,2,43,9,1,840003,53,6
"55805",55805,2,4,2,2,1,1,1,2,1,3,2,1,1,2,1,10,840,2,26,5,1,840003,0,6
"55806",55806,4,1,1,1,1,1,1,2,10,5,2,1,1,1,1,10,840,2,34,9,3,840003,0,1
"55807",55807,3,1,1,1,1,1,1,2,10,5,2,1,1,1,1,9,840,1,38,5,1,840002,0,1
"55808",55808,3,4,1,4,1,1,1,2,10,7,2,1,1,1,2,10,840,1,47,6,3,840002,0,6
"55809",55809,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,10,840,2,33,7,1,840002,53,6
"55810",55810,4,2,1,2,1,1,2,1,10,6,2,1,2,1,1,10,840,1,53,2,1,840002,-2,3
"55811",55811,3,1,1,1,1,1,1,2,9,4,2,1,1,1,1,9,840,1,57,7,1,840004,0,1
"55812",55812,1,3,2,2,1,1,1,2,1,5,2,1,1,1,2,9,840,2,39,8,1,840002,0,1
"55813",55813,2,2,3,2,1,1,1,2,7,3,1,1,2,1,1,10,840,1,36,9,1,840002,64,3
"55814",55814,1,2,4,2,1,1,1,2,1,1,1,1,1,1,1,10,840,2,33,8,5,840002,62,1
"55815",55815,2,3,4,2,1,2,2,2,2,2,1,1,4,2,2,7,840,1,58,9,1,840002,62,1
"55816",55816,1,1,4,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,39,5,2,840002,62,1
"55817",55817,1,2,5,3,1,1,1,2,4,6,2,2,2,1,1,5,840,2,62,4,5,840002,-2,1
"55818",55818,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,10,840,2,61,8,4,840002,62,1
"55819",55819,3,2,3,3,1,1,1,2,10,3,1,1,1,1,2,10,840,2,41,8,3,840009,-2,1
"55820",55820,1,1,1,1,1,1,1,2,4,3,2,1,1,1,1,6,840,2,61,4,4,840002,0,1
"55821",55821,3,3,1,4,1,1,-1,2,1,6,2,1,1,2,2,6,840,1,32,8,2,840005,64,6
"55822",55822,1,3,4,2,1,1,1,2,1,1,1,1,1,1,1,10,840,2,37,9,5,840002,62,1
"55823",55823,1,1,3,2,1,1,1,2,6,6,2,2,3,-1,3,4,840,2,18,5,2,840002,-2,2
"55824",55824,2,2,1,1,1,1,1,2,1,2,1,1,2,1,1,10,840,2,48,3,2,840002,64,1
"55825",55825,3,2,2,5,1,1,1,1,1,7,2,1,1,2,1,4,840,2,28,5,1,840005,64,6
"55826",55826,2,5,4,1,1,1,1,2,1,6,2,1,1,1,1,10,840,1,28,4,1,840002,64,6
"55827",55827,1,4,5,1,1,1,1,2,6,1,1,1,2,1,1,10,840,1,20,8,6,840008,64,6
"55828",55828,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,7,840,2,51,8,2,840002,62,2
"55829",55829,2,4,1,4,1,1,2,2,1,3,1,1,1,2,4,6,840,2,72,8,5,840002,53,1
"55830",55830,1,1,2,1,1,1,1,2,1,3,2,1,1,1,4,10,840,2,24,4,1,840005,0,6
"55831",55831,1,2,4,2,1,1,1,2,1,3,1,1,4,1,1,10,840,1,38,6,1,840005,0,2
"55832",55832,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,10,840,1,18,3,2,840002,53,6
